"",海拔高度,下降率,无线电高度,计算空速,地速,起落架,空地电门0.2秒,空地电门0.4秒,空地电门0.6秒,空地电门0.8秒,空地电门1秒,着陆G值0.1秒,着陆G值0.2秒,着陆G值0.3秒,着陆G值0.4秒,着陆G值0.5秒,着陆G值0.6秒,着陆G值0.7秒,着陆G值0.8秒,着陆G值0.9秒,着陆G值1秒,姿态（俯仰角）,姿态（俯仰角）.1,姿态（俯仰角）.2,姿态（俯仰角）.3,姿态（俯仰角）.4,杆量,杆量.1,杆量.2,杆量.3,杆量.4,坡度（左负右正）,坡度（左负右正）.1,盘量,盘量.1,盘量.2,盘量.3,盘量.4,左侧发动机油门N1值,右侧发动机油门N1值,磁航向,风向,风速,是否接通了A/T,是否接通了任意侧的A/P,左发油门杆位置（角度）,左发油门杆位置（角度）.1,右发油门杆位置（角度）,右发油门杆位置（角度）.1,RUDD位置,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率
0,-67,0,-8,30.0,7.25,1.0,0,0,0,0,0,0.9961,1.0039,1.0156,1.0039,0.9805,0.9922,0.9883,1.0195,1.0078,0.9961,-0.3076,-0.3076,-0.3076,-0.3076,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.3,92.4,87.2,42.750,0,0,34.0576,34.0137,34.1016,34.1016,-0.1719,-1.35,0.06,1.29,-2.25,-3.88,-2.43,0.0000
1,-67,0,-8,30.0,7.50,1.0,0,0,0,0,0,1.0156,1.0078,1.0039,0.9922,1.0039,0.9844,0.9922,1.0039,0.9961,0.9961,-0.3076,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.3,92.4,87.2,42.500,0,0,34.0137,34.0137,34.1016,34.0576,-0.1719,-0.80,-0.33,-1.90,-4.60,-3.81,-4.59,-0.0625
2,-67,0,-8,30.0,7.50,1.0,0,0,0,0,0,1.0078,1.0078,1.0234,0.9805,0.9922,1.0078,0.9883,1.0000,0.9844,0.9805,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.2,92.3,87.2,42.375,0,0,34.0137,34.0137,34.1016,34.1016,-0.1602,-1.37,-1.17,0.74,-2.96,-2.79,-2.89,0.0000
3,-67,0,-8,30.0,7.75,1.0,0,0,0,0,0,1.0039,0.9922,1.0273,0.9805,0.9844,1.0039,1.0117,0.9883,0.9844,0.9805,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.2,92.3,87.2,42.125,0,0,34.0576,34.0576,34.1016,34.1016,-0.1602,1.60,1.31,-1.47,-3.82,-4.60,-3.83,0.0000
4,-67,0,-8,30.0,8.00,1.0,0,0,0,0,0,1.0117,1.0156,0.9844,0.9922,0.9961,1.0039,1.0117,0.9961,0.9844,0.9883,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.2,87.2,42.000,0,0,34.0576,34.0576,34.1016,34.1016,-0.1836,1.22,1.05,2.70,-3.14,-4.59,-3.23,0.0000
5,-67,0,-8,30.0,8.25,1.0,0,0,0,0,0,1.0039,0.9961,1.0117,1.0000,1.0000,1.0078,1.0000,0.9922,1.0000,0.9844,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.2,87.2,41.750,0,0,34.0576,34.0576,34.1016,34.1016,-0.1836,1.03,-0.15,1.33,-4.13,-3.23,-4.22,0.0625
6,-67,0,-8,30.0,8.25,1.0,0,0,0,0,0,0.9961,1.0195,1.0117,1.0234,0.9805,0.9844,0.9883,1.0078,1.0039,1.0078,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.2,92.1,87.2,41.625,0,0,34.0576,34.0576,34.1016,34.1016,-0.2500,2.05,2.79,-3.20,-4.69,5.16,-4.34,0.0000
7,-67,0,-8,30.0,8.50,1.0,0,0,0,0,0,0.9727,0.9961,1.0000,0.9961,1.0000,1.0078,0.9961,0.9805,1.0000,0.9648,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.2,92.1,86.8,41.375,0,0,34.0576,34.0576,34.1016,34.1016,-0.2500,-2.07,-1.84,-1.70,-4.98,-5.14,-5.04,0.0000
8,-67,0,-8,30.0,8.75,1.0,0,0,0,0,0,1.0234,1.0156,1.0078,0.9844,0.9844,1.0000,1.0078,1.0000,0.9766,1.0078,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.1,86.8,41.125,0,0,34.0576,34.0576,34.1016,34.1016,-0.2402,-3.12,-2.55,-4.00,-3.44,-3.21,-3.34,-0.0625
9,-67,0,-8,30.0,9.00,1.0,0,0,0,0,0,0.9961,1.0313,1.0352,1.0234,0.9688,0.9727,0.9883,0.9922,1.0156,1.0078,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.2,86.8,41.000,0,0,34.0576,34.0576,34.1016,34.1016,-0.2402,-0.05,-0.04,0.28,-4.20,-3.17,-4.21,-0.0625
10,-68,8,-8,30.0,9.25,1.0,0,0,0,0,0,0.9922,1.0156,1.0117,1.0039,0.9727,0.9766,0.9844,0.9883,0.9961,1.0039,-0.3516,-0.3516,-0.3955,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.2,87.2,40.750,0,0,34.0576,34.0576,34.1016,34.1016,-0.0742,3.03,4.04,1.59,-1.98,-1.61,-1.88,-0.0625
11,-68,14,-8,30.0,9.25,1.0,0,0,0,0,0,0.9961,0.9961,1.0000,1.0000,0.9961,1.0000,1.0039,0.9961,0.9961,1.0039,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.3,92.3,87.2,40.625,0,0,34.0576,34.0576,34.1016,34.1016,-0.0742,-1.04,-1.94,0.78,-4.06,-4.15,-4.11,-0.0625
12,-68,15,-8,30.0,9.50,1.0,0,0,0,0,0,1.0078,0.9961,1.0234,0.9883,1.0078,0.9961,1.0039,0.9961,1.0039,0.9805,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.2637,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.4,87.2,40.375,0,0,34.0576,34.0576,34.1016,34.1016,-0.1523,-1.85,-1.32,0.52,-4.03,-3.94,-4.19,-0.0625
13,-68,13,-8,30.0,9.75,1.0,0,0,0,0,0,1.0078,0.9961,0.9766,1.0117,0.9922,1.0156,0.9805,1.0000,0.9961,0.9844,-0.3516,-0.3516,-0.3516,-0.3516,-0.3516,-0.001,-0.001,-0.001,-0.001,-0.001,0.2637,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.2,92.4,87.2,40.250,0,0,34.0576,34.0576,34.1016,34.1016,-0.1523,0.62,0.21,1.88,-3.91,-4.12,-3.90,-0.0625
14,-68,9,-8,30.0,10.00,1.0,0,0,0,0,0,0.9961,1.0000,0.9844,1.0000,0.9883,0.9961,1.0000,0.9961,1.0195,0.9922,-0.3516,-0.3516,-0.3516,-0.3516,-0.3076,-0.001,-0.001,-0.001,-0.001,-0.001,0.2637,0.2637,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.3,92.4,87.2,40.000,0,0,34.0576,34.0576,34.1016,34.1016,-0.1562,0.38,1.68,-0.88,-4.45,5.16,-4.50,-0.0625
15,-67,-3,-8,30.0,10.00,1.0,0,0,0,0,0,0.9883,1.0039,0.9844,1.0156,1.0039,1.0039,0.9766,0.9922,1.0039,0.9961,-0.3076,-0.3076,-0.3076,-0.3076,-0.3076,-0.001,-0.001,-0.001,-0.001,-0.001,0.2637,0.2637,0.0063,0.0063,0.0063,0.0063,0.0063,21.2,21.2,92.4,87.2,39.875,0,0,34.0576,34.0576,34.1016,34.1016,-0.1562,2.19,1.92,-1.57,-1.81,-0.31,-1.65,0.0000
16,-67,-13,-8,30.0,10.25,1.0,0,0,0,0,0,0.9414,1.0000,0.9922,1.0273,1.0117,1.0039,1.0039,0.9805,1.0273,0.9766,-0.3076,-0.2637,-0.3076,-0.2637,-0.2637,-0.001,-0.001,-0.001,-0.001,-0.001,0.2637,0.2637,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.2,92.5,87.2,39.625,0,0,34.0576,34.0576,34.1016,34.1016,-0.1660,0.34,-0.39,-2.17,-4.15,-3.30,-4.81,-0.0625
17,-68,-9,-8,30.0,10.50,1.0,0,0,0,0,0,1.0078,1.0195,1.0039,0.9922,0.9961,0.9922,1.0039,1.0195,0.9883,0.9922,-0.2637,-0.2637,-0.2637,-0.2637,-0.2637,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.2,92.5,87.2,39.375,0,0,34.0576,34.0576,34.1016,34.1016,-0.1660,-1.44,-1.69,-0.71,-4.18,-3.79,-4.20,0.0000
18,-67,-9,-8,30.0,10.75,1.0,0,0,0,0,0,1.0117,1.0195,0.9883,0.9727,1.0117,1.0117,0.9922,0.9844,1.0000,0.9922,-0.2637,-0.2637,-0.2637,-0.2637,-0.2637,-0.001,-0.001,-0.001,-0.001,-0.001,0.3516,0.3516,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.2,92.5,87.5,39.250,0,0,34.0576,34.0576,34.1016,34.1016,-0.1816,-1.58,-0.94,-1.57,-2.11,-2.37,-1.94,-0.0625
19,-68,-1,-8,30.0,11.00,1.0,0,0,0,0,0,0.9922,0.9844,0.9570,1.0078,1.0156,0.9961,0.9727,0.9766,1.0313,1.0195,-0.2637,-0.2637,-0.2637,-0.2637,-0.2197,-0.001,-0.001,-0.001,-0.001,-0.001,0.4395,0.4395,0.0063,0.0063,0.0063,0.0063,0.0063,21.1,21.2,92.5,87.5,39.000,0,0,34.0576,34.0576,34.1016,34.1016,-0.1816,0.04,-1.05,1.20,-4.14,-3.91,-3.92,-0.1250
20,-67,-2,-8,30.0,11.00,1.0,0,0,0,0,0,0.9922,1.0156,1.0352,0.9922,0.9766,0.9922,1.0078,1.0234,0.9805,1.0195,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.001,-0.001,-0.001,-0.001,-0.001,0.4395,0.4395,0.0063,0.0063,0.0063,0.0063,0.0063,21.0,21.2,92.5,87.5,38.875,0,0,34.0576,34.0576,34.1016,34.1016,-0.0605,-1.64,-1.61,0.65,-2.25,-3.62,-2.72,0.0000
