空地电门0.2秒,空地电门0.4秒,空地电门0.6秒,空地电门0.8秒,空地电门1秒,着陆G值0.1秒,着陆G值0.2秒,着陆G值0.3秒,着陆G值0.4秒,着陆G值0.5秒,着陆G值0.6秒,着陆G值0.7秒,着陆G值0.8秒,着陆G值0.9秒,着陆G值1秒,姿态（俯仰角）,姿态（俯仰角）.1,姿态（俯仰角）.2,姿态（俯仰角）.3,姿态（俯仰角）.4,杆量,杆量.1,杆量.2,杆量.3,杆量.4,坡度（左负右正）,坡度（左负右正）.1,盘量,盘量.1,盘量.2,盘量.3,盘量.4
1,1,1,1,1,1.043,1.0039,1.0352,1.0508,1.0352,1.0313,1.0313,1.0547,1.0313,1.0664,5.0977,5.0537,5.0098,4.9658,4.8779,-0.0021,-0.001,-0.001,-0.001,-0.001,-0.4395,-0.9668,-0.0042,-0.0731,-0.1369,-0.2017,-0.209
1,1,1,1,1,0.9922,0.9961,1.0078,0.9648,1.0117,0.9844,0.9922,1.0117,0.9805,1.0313,4.79,4.7021,4.6143,4.5264,4.4824,-0.0063,-0.0021,-0.0021,-0.0021,-0.0021,-0.5273,-0.1758,-0.0293,0.0125,0.0543,0.0282,0.0084
1,1,1,1,1,1.0234,0.9961,0.9609,0.9922,0.9805,0.9609,0.9648,0.9688,0.9648,1.0,4.4824,4.4385,4.3945,4.3945,4.3945,-0.0021,-0.0021,-0.0063,-0.0115,-0.0115,-0.2637,-0.5273,-0.0084,-0.0272,-0.0867,-0.1108,-0.094
1,1,1,1,1,0.9297,0.9219,0.9609,0.9531,0.9844,1.0195,0.9844,1.0078,0.9805,0.9883,4.3945,4.3945,4.3506,4.3506,4.3066,-0.0021,-0.0084,-0.0115,-0.0104,-0.0073,-0.2637,-0.0879,-0.0878,-0.0157,0.001,0.0,-0.0021
1,1,1,1,1,0.9063,0.9375,0.9023,0.9063,0.9102,0.8711,0.9219,0.8984,0.9023,0.9102,4.2627,4.2187,4.2187,4.3066,4.3506,0.0408,0.0387,0.0345,0.0188,-0.0021,0.4395,0.1758,0.1181,0.1024,0.0303,-0.0167,-0.093
1,1,1,1,1,1.0273,1.0273,0.9961,0.9727,0.9531,0.9492,0.9297,0.9414,0.9883,0.9258,4.4385,4.5264,4.6582,4.7461,4.8779,0.0575,0.0596,0.0596,0.0543,0.0481,0.1758,0.4395,0.0418,0.0637,0.1024,0.1306,0.1296
1,1,1,1,1,1.0586,1.0586,1.0742,1.0664,1.0625,1.0977,1.0156,1.0469,1.0586,1.0313,5.0098,5.0977,5.1855,5.2734,5.2734,0.0366,0.0366,0.0366,0.0439,0.0502,0.0879,0.0,0.0125,0.0125,0.0167,0.0293,0.0303
1,1,1,1,1,0.9883,0.957,0.9883,1.0195,1.0078,1.0117,1.0508,1.0508,1.0234,1.0352,5.3174,5.3174,5.3174,5.2734,5.2734,0.0334,0.0303,0.0303,0.0313,0.0334,-0.2637,0.0,-0.0846,-0.0366,-0.0094,0.0104,0.0125
1,1,1,1,1,1.0508,1.0469,1.043,1.0352,0.9883,0.9961,0.9766,0.9844,1.0117,0.9766,5.2734,5.2734,5.3613,5.4053,5.4492,0.0125,0.0157,0.0219,0.0251,0.0272,-0.6152,-0.4395,-0.1609,-0.1139,-0.0878,-0.0982,-0.1066
1,1,1,1,1,1.0234,1.0078,1.0391,1.0117,1.0313,1.0352,1.0625,1.0352,1.0195,1.0664,5.4932,5.5371,5.5371,5.5371,5.5371,0.0,-0.001,-0.001,-0.001,0.0063,0.1758,-0.0879,-0.117,-0.1024,-0.1254,-0.1641,-0.1766
1,1,1,1,1,1.0273,1.0508,1.0391,1.0391,1.0625,1.043,1.0547,1.0156,1.043,1.0625,5.4932,5.4932,5.4492,5.4053,5.3613,-0.001,-0.001,-0.001,0.001,0.001,0.3516,0.1758,-0.1097,-0.1129,-0.1317,-0.1515,-0.1452
1,1,1,1,1,1.0352,1.0586,1.0352,1.0234,0.9961,1.0234,1.0195,1.0117,1.0547,1.0273,5.2734,5.2295,5.1855,5.1416,5.0977,-0.0219,-0.0084,-0.0021,-0.001,-0.001,0.5273,0.5273,-0.0878,-0.0784,-0.0355,-0.0272,-0.0679
1,1,1,1,1,0.957,0.918,0.9414,0.9375,0.9375,0.9883,1.0234,1.0117,0.918,1.0352,5.0537,5.0098,4.9219,4.8779,4.8779,-0.0021,-0.0021,-0.0094,-0.0251,-0.0261,0.8789,0.7031,0.0554,0.0627,0.0084,-0.023,-0.0564
1,1,1,1,1,0.9727,1.0117,0.9844,0.9922,1.0039,0.9805,0.9922,0.9727,0.9766,1.0234,4.8779,4.9219,4.9658,5.0098,5.0537,-0.0063,-0.0052,-0.0031,-0.0021,-0.001,0.3516,0.7031,-0.139,-0.1076,-0.0188,0.0021,0.0136
1,1,1,1,1,1.0,0.9844,1.0078,1.0,0.9961,0.9922,1.0234,0.9961,1.0039,1.0195,5.0977,5.0977,5.1416,5.1416,5.1416,-0.001,-0.0021,-0.0021,-0.0031,-0.0031,0.8789,0.7031,0.1599,0.1024,0.0104,-0.0146,-0.1076
1,1,1,1,1,0.9883,1.0117,1.0078,1.0469,1.0156,0.9766,1.0078,1.043,1.0117,0.9883,5.1855,5.2295,5.2295,5.2295,5.1855,-0.0031,-0.0104,-0.0104,-0.0073,-0.0021,0.3516,0.791,0.0136,0.0752,0.1682,0.2017,0.1933
1,1,1,1,1,0.9961,1.0,0.9688,0.9727,0.9961,0.9688,0.9844,1.0039,0.9883,0.9961,5.1416,5.0977,5.0977,5.0977,5.0537,-0.0125,-0.0063,-0.0021,-0.0021,-0.0021,0.4395,0.2637,0.1609,0.1108,0.0199,0.0104,0.0094
1,1,1,1,1,0.9961,0.9766,0.9961,0.9766,0.9688,0.9688,0.9844,0.9453,0.9766,0.9727,5.0537,5.0098,5.0098,4.9658,4.9219,-0.0021,-0.0021,-0.0021,-0.0084,-0.0136,-0.0879,0.4395,0.0679,0.1505,0.2153,0.2153,0.1975
1,1,1,1,1,1.0273,0.9766,1.0195,1.0352,1.0391,1.0391,0.9961,1.0391,1.0313,1.0313,4.9219,4.9219,4.9219,4.8779,4.834,-0.0178,-0.0199,-0.0146,-0.0021,-0.0021,-0.791,-0.7031,-0.1599,-0.1599,-0.1338,-0.0408,0.0125
1,1,1,1,1,0.9766,0.9727,1.0,0.9883,1.0039,0.9766,0.9766,1.0039,0.9414,1.0039,4.7461,4.7021,4.6582,4.6143,4.5703,-0.0136,-0.0136,-0.0125,-0.0125,-0.0146,-0.6152,-0.791,-0.117,-0.1379,-0.1546,-0.1588,-0.1578
1,1,1,1,1,0.9961,0.9961,0.9922,1.0039,1.0,0.9883,0.9922,0.9883,0.9961,0.9805,4.5264,4.4824,4.4385,4.3945,4.3945,-0.0084,-0.0084,-0.0115,-0.0136,-0.0146,-0.2637,-0.3516,-0.0721,-0.0376,-0.0397,-0.0575,-0.092
1,1,1,1,1,1.0,0.9844,0.9961,0.9766,0.9648,0.9688,0.9805,1.0078,1.0,0.9766,4.3506,4.3506,4.3066,4.3066,4.2627,-0.0094,-0.0115,-0.0146,-0.0188,-0.0146,-0.1758,-0.2637,-0.1233,-0.1285,-0.1275,-0.1264,-0.1129
1,1,1,1,1,0.9961,0.9883,0.9844,0.9648,0.9922,1.0117,1.0,1.0078,0.9883,1.0039,4.2627,4.2187,4.1748,4.1309,4.0869,-0.0293,-0.0063,-0.0052,-0.0094,-0.0094,0.3516,0.2637,0.1097,0.0888,0.0157,-0.001,-0.0418
1,1,1,1,1,0.918,0.9453,0.9063,0.9609,1.0078,0.9805,0.9844,0.9805,0.9648,1.0,4.043,3.999,3.9111,3.8232,3.6914,-0.0408,-0.0481,-0.0491,-0.047,-0.0439,0.0,0.0879,-0.0073,0.0136,0.0293,0.0585,0.1129
1,1,1,1,1,0.9453,0.9336,0.9414,0.9297,0.8828,0.9258,0.9297,0.8984,0.9063,0.9219,3.6035,3.5156,3.4277,3.3838,3.3838,-0.0408,-0.0324,-0.0261,-0.0272,-0.0324,0.5273,0.1758,0.1672,0.1494,0.0763,0.0021,-0.023
1,1,1,1,1,0.9141,0.9609,0.957,0.9648,0.9766,0.957,0.9453,0.9453,0.9414,0.9648,3.3398,3.2959,3.1641,3.0322,2.9004,-0.0627,-0.0648,-0.0658,-0.0617,-0.0533,-0.0879,0.3516,-0.0031,0.0115,0.0878,0.1546,0.1693
1,1,1,1,1,0.918,0.9492,0.9297,0.9336,0.9141,0.9297,0.9141,0.9375,0.9023,0.9297,2.7246,2.5928,2.417,2.2412,2.1094,-0.046,-0.0502,-0.0543,-0.0648,-0.0627,-0.0879,-0.2637,-0.0209,-0.024,-0.0606,-0.0825,-0.0669
1,1,1,1,1,0.9063,0.8984,0.9453,0.9141,0.9453,0.9141,0.8828,0.9297,0.9023,0.9063,1.9336,1.8018,1.6699,1.582,1.4502,-0.0303,-0.0418,-0.0428,-0.0387,-0.0376,-0.0879,-0.1758,-0.1024,-0.1118,-0.1097,-0.0972,-0.0805
1,1,1,1,1,0.957,0.9648,0.9492,0.9414,0.9414,0.9023,0.9336,0.9141,0.9297,0.8906,1.3184,1.2305,1.1426,1.0986,1.0547,-0.0209,-0.0157,-0.0104,-0.0136,-0.0167,0.0,0.0,-0.163,-0.1599,-0.1432,-0.1275,-0.1233
1,1,1,1,1,0.9336,0.9453,0.9805,0.9609,0.9727,0.9609,0.9922,0.9648,0.9648,0.9648,1.0107,0.9668,0.8789,0.7471,0.6592,-0.0084,-0.0219,-0.023,-0.0293,-0.0282,0.6152,0.2637,-0.0408,-0.1045,-0.1317,-0.1243,-0.1411
1,1,1,1,1,1.0156,1.0156,0.9844,0.9922,0.9648,0.9492,0.9063,0.9688,0.9766,0.957,0.5273,0.4395,0.3955,0.3516,0.3076,-0.0345,-0.0178,-0.0021,-0.0021,-0.0031,0.791,1.0547,-0.0669,0.0021,0.024,0.0094,-0.0094
1,1,1,1,1,0.9063,0.9063,0.9336,0.9375,0.9922,0.9844,0.9805,0.9727,0.9414,1.0195,0.2197,0.1318,0.0,-0.1318,-0.2637,-0.0042,-0.0157,-0.0313,-0.0397,-0.047,1.2305,1.0547,0.0146,0.0,-0.0104,-0.0272,-0.07
1,1,1,1,1,0.9688,0.9492,0.9414,0.9453,0.9219,0.9063,0.9453,0.9102,0.9375,0.918,-0.3516,-0.3955,-0.3955,-0.3955,-0.3955,0.0042,0.0042,0.0031,-0.001,-0.0021,0.8789,0.791,-0.001,-0.0157,-0.0439,-0.0094,0.0104
1,1,1,1,1,0.9531,0.9492,0.9609,0.9727,0.9688,0.957,0.9492,0.957,0.9609,0.957,-0.4395,-0.4395,-0.4395,-0.4834,-0.4834,0.0251,0.023,0.0199,0.0199,0.0094,0.7031,0.791,0.0251,0.0219,0.0188,0.0157,0.0136
1,1,1,1,1,1.0117,0.9648,0.957,0.9219,0.9297,0.9492,0.957,0.9414,0.9297,0.9531,-0.4834,-0.4834,-0.4834,-0.4834,-0.3955,0.0554,0.0637,0.0554,0.0428,0.0303,0.6152,0.791,0.0533,0.0543,0.0533,0.0512,0.0387
1,1,1,1,1,1.0742,1.0508,1.0469,1.0117,1.0625,1.0391,1.0195,0.9648,0.9922,0.9805,-0.3516,-0.2637,-0.1758,-0.1318,-0.1318,0.0136,0.0219,0.024,0.0355,0.046,0.4395,0.6152,0.0857,0.1034,0.1066,0.0961,0.0752
1,1,1,1,1,0.9766,0.9727,1.0039,1.0195,1.0234,0.9961,1.0469,1.0391,1.0,1.043,-0.1758,-0.1758,-0.2197,-0.3076,-0.3516,0.0251,0.0115,0.0084,0.0136,0.0146,0.0879,0.1758,0.1014,0.0993,0.0815,0.0627,0.0669
1,1,1,1,1,0.9766,0.9805,0.9883,0.9453,0.9805,1.0,0.9648,0.9727,0.9844,0.9922,-0.3955,-0.3955,-0.3955,-0.3516,-0.3076,0.0146,0.0209,0.0293,0.0334,0.0303,-0.3516,-0.2637,0.0846,0.0867,0.0867,0.0888,0.1003
1,1,1,1,1,1.0195,0.9727,0.9688,0.9648,0.9141,0.9297,0.9414,0.957,0.9297,0.9219,-0.2637,-0.2197,-0.1758,-0.0879,0.0879,0.07,0.069,0.0606,0.0418,0.0293,-0.9668,-0.7031,0.0554,0.0627,0.0763,0.0836,0.0846
1,1,1,1,1,1.082,1.0508,1.0469,1.0664,1.0469,1.0547,0.9844,1.0742,1.0938,0.9961,0.2637,0.4395,0.5713,0.6592,0.7471,0.0042,-0.001,0.001,0.0219,0.0428,-1.0547,-0.7031,0.0136,0.0679,0.1034,0.0836,0.0522
1,1,1,1,1,1.043,0.957,1.0391,1.0156,1.0586,1.0703,1.0352,1.043,0.9961,1.0469,0.7471,0.7471,0.7471,0.7471,0.7471,0.0199,0.0199,0.0104,0.0084,0.0052,-1.6699,-1.582,-0.0617,-0.0961,-0.0909,-0.0731,-0.0052
1,1,1,1,1,0.9961,1.0156,1.0352,1.0078,0.9922,1.0078,1.0078,0.9883,1.0195,0.9766,0.7471,0.7471,0.791,0.835,0.8789,0.0125,0.0167,0.023,0.023,0.0199,-1.4062,-1.4941,-0.0575,-0.0533,-0.0334,-0.0125,-0.0188
1,1,1,1,1,0.9766,1.0039,0.9844,1.0313,0.9648,1.0039,1.0117,1.0195,0.9844,0.9883,0.9668,1.0107,1.0547,1.0986,1.1865,0.0397,0.0376,0.0345,0.0157,0.0146,-0.8789,-0.9668,-0.0491,-0.0219,-0.0219,-0.0261,-0.0376
1,1,1,1,1,1.0977,1.1055,1.043,1.0742,1.0352,1.0195,1.0195,1.0469,1.0703,1.0078,1.2744,1.3623,1.4941,1.582,1.626,-0.0021,-0.001,0.0104,0.0272,0.0397,-0.6152,-0.7031,-0.0679,-0.0439,-0.0491,-0.0648,-0.069
1,1,1,1,1,1.0625,1.0898,1.0625,1.082,1.1016,1.0508,1.0547,1.0898,1.0703,1.0977,1.626,1.626,1.582,1.5381,1.4502,-0.0512,-0.0439,-0.0366,-0.0261,-0.0178,-0.3516,-0.7031,-0.069,-0.093,-0.1243,-0.1275,-0.1129
1,1,1,1,1,0.9688,1.0586,1.0117,1.0195,1.0625,1.0273,1.0898,1.0625,1.0273,1.0078,1.3184,1.2305,1.0986,0.9229,0.791,-0.069,-0.0648,-0.0679,-0.069,-0.0533,-0.0879,-0.2637,-0.1275,-0.1275,-0.1254,-0.0742,-0.0512
1,1,1,1,1,0.9102,0.9375,0.9336,0.9648,0.9688,0.9727,1.0078,0.9688,0.9688,1.0703,0.6152,0.4395,0.2637,0.0879,-0.0879,-0.0021,-0.0178,-0.0449,-0.0637,-0.0742,0.3516,0.0,-0.0909,-0.139,-0.1546,-0.1546,-0.1546
1,1,1,1,1,0.9609,0.9727,0.9961,1.0,0.9727,0.918,0.9336,0.9258,0.9258,0.9414,-0.2197,-0.2637,-0.2637,-0.2637,-0.2197,-0.001,0.0084,0.0209,0.023,0.0115,1.1426,1.0547,-0.0251,-0.0073,-0.001,-0.0084,-0.0418
1,1,1,1,1,0.9844,1.0078,0.9609,0.9766,0.9844,1.0,0.9922,0.9805,0.9844,0.9844,-0.1758,-0.1318,-0.1318,-0.1318,-0.1318,-0.0125,-0.0167,-0.0125,-0.0042,-0.001,1.4062,1.3184,0.0021,0.001,-0.0084,-0.0104,-0.0167
1,1,1,1,1,0.9219,0.9141,0.9453,0.9648,0.9648,0.9609,0.9805,0.9492,0.918,0.9844,-0.1318,-0.1758,-0.1758,-0.1758,-0.1758,0.0366,0.0293,0.0073,-0.001,-0.0021,1.1426,1.3184,0.0146,0.0303,0.0199,0.0157,0.0104
1,1,1,1,1,0.9609,1.0039,0.9648,0.9609,0.9414,0.9492,0.9453,0.9336,0.9336,0.9258,-0.0879,-0.0439,0.0879,0.2197,0.3955,0.0731,0.0805,0.0805,0.0752,0.0575,1.0547,0.8789,0.0042,0.001,-0.0219,-0.023,0.0042
1,1,1,1,1,0.9844,1.0313,1.0195,1.0039,1.0234,1.0547,0.9805,1.0078,0.9922,1.0391,0.6152,0.791,0.9668,1.0986,1.1865,0.0293,0.024,0.0272,0.0428,0.0575,1.0547,1.1426,0.1254,0.1139,0.0951,0.069,0.0199
1,1,1,1,1,0.9922,1.0156,1.0117,0.9531,1.0156,1.0273,0.9883,1.0039,1.0117,1.0195,1.3184,1.4062,1.5381,1.6699,1.7578,0.0408,0.0502,0.0502,0.0502,0.0449,0.4395,0.5273,0.0282,0.0282,0.0282,0.0355,0.0888
1,1,1,1,1,1.0313,1.1016,1.0508,1.0586,1.0586,1.0508,1.0391,1.0234,1.0547,1.0039,1.8896,2.0215,2.1533,2.2412,2.3291,-0.001,0.001,0.0157,0.024,0.0366,0.1758,0.1758,0.023,0.0136,0.0146,0.0157,0.0219
1,1,1,1,1,1.1563,1.1211,1.125,1.125,1.1094,1.0664,1.0742,1.0703,1.0859,1.0664,2.373,2.417,2.417,2.417,2.2852,-0.0815,-0.0711,-0.0522,-0.0293,-0.0021,-0.1758,0.1758,0.0136,0.0334,0.0857,0.0846,0.0658
1,1,1,1,1,0.9609,0.9766,1.0469,1.0313,1.0234,1.0938,1.1172,1.0977,1.0508,1.0977,2.1533,1.9775,1.7578,1.4941,1.2305,-0.0763,-0.0951,-0.1076,-0.1014,-0.094,-0.4395,-0.791,-0.0136,-0.092,-0.1567,-0.1463,-0.0554
1,1,1,1,1,0.9063,0.9297,0.8867,0.9375,0.9648,0.9375,0.9688,0.9922,0.9961,0.957,1.0107,0.791,0.6152,0.4395,0.3516,-0.024,-0.0418,-0.0439,-0.0554,-0.0543,-0.4395,-0.2637,-0.0376,-0.0387,-0.0084,0.0031,0.001
1,1,1,1,1,0.9922,0.9805,0.957,0.9336,0.8984,0.8711,0.8555,0.8516,0.8984,0.9141,0.2197,0.1758,0.1758,0.2197,0.3076,0.0,0.0178,0.0136,-0.001,-0.0031,-0.1758,-0.1758,-0.0334,-0.0261,-0.0021,0.0,-0.0094
1,1,1,1,1,1.0039,1.0391,1.0273,1.0508,1.0156,1.0703,1.0117,1.0039,1.0547,1.0234,0.4395,0.4834,0.5273,0.5273,0.4834,-0.0512,-0.0606,-0.0575,-0.0418,-0.0021,0.5273,0.4395,0.1045,0.1024,0.0387,0.0042,-0.0094
1,1,1,1,1,0.9219,0.9102,0.9258,0.957,0.9766,0.9453,1.0039,1.0313,0.9297,1.0352,0.3516,0.2197,0.1318,0.0,-0.0439,0.0428,0.0188,-0.0021,-0.0084,-0.0366,-0.3516,0.0879,-0.094,-0.0669,0.0063,0.0209,0.0815
1,1,1,1,1,0.9414,0.9258,0.9414,0.9492,0.9258,0.9531,0.9258,0.9063,0.9102,0.9141,-0.0879,-0.0439,0.0,0.1318,0.2197,0.0637,0.0617,0.0564,0.0491,0.0481,0.3516,0.0879,0.0554,0.0209,0.0031,-0.0073,-0.0648
1,1,1,1,1,1.0234,1.0273,0.9922,1.0,1.0078,0.957,1.0117,0.9414,1.0039,0.9805,0.3516,0.5273,0.6592,0.835,0.9668,0.0334,0.0449,0.0575,0.0648,0.0648,0.0879,0.2637,0.0136,0.0146,0.0188,0.0439,0.0564
1,1,1,1,1,1.0,1.0352,1.0156,1.0313,0.9922,1.0391,1.0234,0.9961,1.0156,1.0117,1.0986,1.2305,1.3184,1.4062,1.4502,0.0418,0.0387,0.0334,0.0366,0.0376,-0.0879,0.0,0.0146,0.0136,0.0136,0.0136,0.0136
1,1,1,1,1,1.0078,1.0039,0.9727,1.0391,1.0117,0.9844,1.0117,1.0313,1.0391,1.0195,1.5381,1.582,1.6699,1.7139,1.7578,0.0397,0.0355,0.0366,0.0366,0.0428,-0.5273,-0.4395,-0.0188,-0.0178,-0.0063,0.0094,0.0136
1,1,1,1,1,1.0898,1.0664,1.0352,1.0938,1.0547,1.0273,1.0117,0.9961,1.0391,1.0352,1.8457,1.9336,2.0215,2.0654,2.1533,-0.023,-0.0021,0.001,0.0199,0.0293,-0.6152,-0.4395,-0.0408,0.001,0.0063,0.0052,-0.0031
1,1,1,1,1,1.0195,1.0625,1.043,1.043,1.0586,1.1016,1.0703,1.0703,1.0859,1.0859,2.1533,2.1094,2.0654,1.9336,1.8018,-0.0752,-0.0669,-0.0637,-0.0596,-0.0543,-0.3516,-0.4395,0.0104,0.0021,-0.0042,-0.0376,-0.0648
1,1,1,1,1,1.0273,0.9922,0.9531,1.0117,1.0117,0.9727,1.0391,1.0195,1.0234,1.0859,1.6699,1.4941,1.3184,1.1426,1.0107,-0.0669,-0.0564,-0.0679,-0.0773,-0.0815,0.1758,0.0,0.1149,0.1076,0.0909,0.0669,0.0199
1,1,1,1,1,0.9336,0.9648,0.9805,0.9805,0.9805,0.9609,1.0508,0.9414,0.9883,0.9883,0.8789,0.791,0.6592,0.5273,0.3955,-0.0637,-0.0742,-0.0846,-0.0846,-0.0805,-0.2637,0.0,0.07,0.069,0.0784,0.1108,0.1264
1,1,1,1,1,0.8984,0.8398,0.8633,0.875,0.9297,0.9063,0.9297,0.9492,0.9102,0.9727,0.3516,0.2197,0.1318,0.0879,0.0879,0.0585,0.0313,-0.0042,-0.0418,-0.0585,-0.6152,-0.4395,-0.094,-0.0522,0.0125,0.0502,0.0711
1,1,1,1,1,0.9922,1.0352,0.9727,0.9375,0.9141,0.9258,0.8828,0.8945,0.9375,0.875,0.1318,0.2637,0.4395,0.6592,0.8789,0.0293,0.0564,0.0773,0.0888,0.0773,0.0879,-0.1758,0.0617,0.0648,0.0376,-0.0042,-0.0836
1,1,1,1,1,1.1172,1.1172,1.1016,1.1172,1.0664,1.0703,1.0664,1.0234,1.0859,1.0117,1.0547,1.2305,1.3623,1.4502,1.4941,-0.0773,-0.0449,-0.0084,0.0,0.0209,0.1758,0.0879,0.0125,-0.0042,-0.0021,0.0146,0.0428
1,1,1,1,1,0.9922,0.9414,1.0195,0.9961,1.043,1.082,1.125,1.1406,1.0469,1.1602,1.4941,1.4062,1.2305,0.9668,0.7031,-0.0073,-0.0543,-0.0857,-0.1139,-0.1055,0.7031,0.7031,0.1494,0.1641,0.1463,0.1034,0.047
1,1,1,1,1,1.0195,1.0078,0.9922,0.9922,0.9883,0.9141,0.9766,0.9609,0.957,0.9258,0.4834,0.3076,0.2197,0.1758,0.1318,-0.0178,-0.001,0.0073,0.0115,0.0084,0.2637,0.4395,0.0146,0.0355,0.0752,0.094,0.1181
1,1,1,1,1,0.9922,0.9375,0.9375,0.9219,0.918,1.0391,0.9531,1.0039,0.9688,0.9414,0.1318,0.1318,0.0879,0.0879,0.0879,-0.0031,-0.0021,-0.0136,-0.0303,-0.023,0.1758,0.1758,0.0125,0.0146,0.0136,0.0094,0.0125
